,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
10,0,11,AM,23,1141,1283,1141,1147
21,1,22,1.79,45,1769,1391,1785,1214
24,2,29,4.46,59,2232,1391,2232,1217
17,3,21,2.19,43,1620,1405,1612,1219
27,4,30,$4.46,61,2360,1441,2380,1213
30,6,34,$3.98,69,2844,1441,2845,1217
37,5,38,0-00,77,3352,1441,3369,1065
32,8,35,$0.48,71,3018,1452,3010,1217
34,7,36,$4.46,73,3183,1452,3193,1213
38,9,37,,75,3352,1545,3358,1462
9,10,10,11:28,21,1141,1636,1141,1350
44,11,45,AN,91,3846,1675,3854,1582
6,12,8,2302,17,972,1689,974,1462
1,13,2,7:00am-9:30d,5,0,1783,0,987
12,14,13,In,27,1435,1876,1438,1720
7,15,7,CHK,15,972,1931,976,1751
43,16,44,11:29,89,3835,1960,3855,1726
41,17,42,(osed,85,3657,2021,3681,1742
16,18,17,120z,35,1596,2122,1596,1929
8,19,9,2/13/2018,19,1122,2258,1122,1702
36,20,40,Due,81,3329,2293,3282,2025
2,21,3,Lunch:9:30am1:36pm,7,139,2344,131,1117
40,22,41,Check,83,3628,2360,3655,2046
5,23,6,Colleen,13,649,2372,669,1897
11,24,12,Dine,25,1429,2390,1436,2002
3,25,4,Braista:7:00am-2:30pm,9,332,2407,272,1039
42,26,43,2/13/2018,87,3778,2419,3814,2009
15,29,16,Coffee,33,1596,2488,1596,2182
18,28,20,Regular,41,1748,2488,1748,2135
25,27,26,Authorization,53,2254,2488,2238,1840
0,30,1,breakfast,3,0,2498,0,1907
29,33,28,xxxxxxxxxxx*9586,57,2582,2850,2540,2042
31,34,31,Subtotal,63,2929,2850,2879,2455
33,31,32,Tax,65,3094,2850,3080,2695
35,32,33,Payment,67,3268,2850,3205,2495
13,37,15,Brewed,31,1580,2864,1580,2551
26,36,25,Credit,51,2266,2864,2258,2545
28,35,27,DISCOVER,55,2407,2864,2389,2442
20,39,19,Muffin,39,1748,2874,1748,2553
22,40,23,x*xxxxx*xxxx9586,47,1919,2874,1908,2043
23,38,24,DISCOVER:01329r,49,2090,2874,2055,2083
14,41,14,1,29,1580,2974,1580,2946
19,42,18,1,37,1748,2974,1748,2950
4,43,5,502325004,11,626,3016,653,2392
39,44,39,ChangE,79,3459,3016,3351,2410
