Word_Count,Word,index,X1,Y1,X2,Y2
1,Vishnu,3,81,60,209,72
2,Foods,5,233,71,334,80
3,Road,7,355,91,444,99
4,641,9,8,103,53,103
5,E,11,70,103,95,103
6,Algonquin,13,127,103,328,103
7,SchaumburgT,15,22,135,283,124
8,IL,17,241,141,300,136
9,601,19,319,135,391,129
10,73,21,399,128,438,125
11,847-303-5116,23,80,155,333,160
12,NAMASTE,25,124,194,272,197
13,3/4/2018,27,5,225,76,222
14,7:48:27,29,89,221,165,218
15,PM,31,177,221,198,220
16,BHAV,33,402,219,448,217
17,ONIONS,35,6,273,56,272
18,E,37,68,271,77,271
19,LBS,39,89,270,120,269
20,30,41,13,298,37,298
21,$1.49ea,43,48,297,120,297
22,PENOLA,45,5,321,56,321
23,PEANUT,47,68,321,132,321
24,OIL,49,145,320,178,320
25,1GAL,51,193,320,234,320
26,$4.47,53,348,296,403,294
27,TX1,55,416,294,447,293
28,$9.99,57,350,319,404,319
29,Tx1,59,417,319,449,319
30,$14.46,61,340,366,406,369
31,SUB,63,4,371,28,372
32,TOTAL,65,37,371,89,373
33,Tax,67,4,394,28,396
34,1,69,40,397,45,397
35,$0.33,71,351,395,406,393
36,$14.79,73,302,441,430,447
37,$14.79,75,343,466,409,472
38,TOTAL,77,4,443,99,451
39,Credit,79,3,470,58,473
40,card,81,69,474,113,477
41,Item,83,4,494,38,495
42,count:,85,48,499,109,502
43,4,87,124,502,135,502
44,Tra,89,4,519,28,518
45,:219713,91,39,528,119,525
46,Terminal:040000033-00,93,154,523,404,513
47,THANK,95,79,554,134,552
48,YOU,97,146,555,181,553
49,&,99,192,555,203,555
50,COME,101,215,552,260,550
51,AGAIN,103,272,546,324,544
