,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
20,0,1,Vishnu,3,582,300,1312,364
31,1,2,FoodS,5,1432,376,2001,426
41,2,3,d,7,2167,439,2685,484
11,3,4,1,9,279,570,426,576
18,4,5,E,11,516,580,661,586
25,5,6,A,13,838,594,1043,603
28,6,7,lgonquin,15,1105,605,2040,646
10,7,8,"Schaumburg,",17,234,747,1533,747
32,8,9,IL,19,1627,747,1870,747
35,9,10,60173,21,1990,747,2656,747
19,10,11,847-303-5116,23,568,904,2065,969
23,11,12,NAMASTE,25,829,1163,1701,1201
42,12,13,BHA,27,2465,1317,2671,1335
21,14,15,7:48:27,31,624,1348,1077,1334
29,13,16,PM,33,1140,1348,1273,1342
6,15,14,3/4/2018,29,134,1375,561,1356
16,17,18,E,37,502,1674,559,1676
22,16,19,LBS,39,624,1674,813,1669
7,18,17,ONIONS,35,134,1686,438,1678
43,19,27,Tx,55,2542,1822,2673,1816
13,21,21,$1.49ea,43,383,1836,812,1840
38,20,26,$4.47,53,2139,1836,2465,1822
9,22,20,3@,41,173,1847,321,1846
30,25,25,1GAL,51,1229,1987,1475,1994
39,24,28,$9.99,57,2139,1987,2472,1986
44,23,29,Tx,59,2542,1987,2676,1987
5,28,22,PENOLA,45,134,1997,438,2004
15,27,23,PEANUT,47,502,1997,883,2001
26,26,24,OIL,49,953,1997,1152,1997
36,29,33,$14.46,67,2094,2297,2488,2314
2,31,30,SUB,61,127,2318,279,2326
12,30,31,TOTAL,63,323,2318,635,2333
40,32,34,$0.33,69,2160,2475,2486,2476
8,33,32,ax,65,173,2514,267,2514
34,34,35,$14.79,71,1871,2778,2624,2811
4,35,36,TOTAL,73,127,2792,687,2841
37,36,42,$14.79,85,2109,2947,2504,2982
1,37,37,Credit,75,127,2968,446,2996
17,38,38,card,77,510,2988,772,3011
3,39,39,Item,79,127,3124,333,3142
14,40,40,count:,81,383,3150,751,3182
24,41,41,4,83,829,3178,897,3184
33,42,43,040000033-00100,87,1768,3234,2684,3314
27,43,45,Terminal:040000033-0010,91,960,3290,2615,3255
0,44,44,Trans:219713,89,118,3308,802,3294
