Word_Count,Word,index,X1,Y1,X2,Y2
1,Breakfast:,3,0,494,0,367
2,7:00am-9:,5,0,348,0,237
3,3Uan,7,0,231,0,179
4,Lunch:9:30am-1:3Gpm,9,19,466,19,219
5,Braista:7:00am-2:30pm,11,40,476,35,206
6,502325004,13,73,598,78,478
7,Col,15,79,466,81,429
8,leen,17,81,421,83,380
9,CHK,19,120,383,120,348
10,2302,21,120,335,120,290
11,2/13/2018,23,139,448,139,339
12,11:28,25,140,324,140,269
13,AM,27,141,254,141,228
14,Dine,29,176,474,177,398
15,In,31,177,372,177,342
16,1,33,196,590,196,585
17,Brewed,35,196,570,196,507
18,Coffee,37,197,494,197,434
19,1202,39,197,421,197,383
20,1,41,216,591,216,586
21,Muffin,43,216,570,216,507
22,Regular,45,216,494,216,423
23,2.19,47,200,278,201,242
24,1.79,49,219,277,220,242
25,9586,51,236,478,236,407
26,DISCOVER:01329r,53,258,570,255,413
27,Credit,55,279,569,278,506
28,Autharization,57,278,493,276,366
29,DISCOVER,59,298,567,296,484
30,xxxxx*x9586,61,317,567,313,407
31,$4.46,63,292,287,294,243
32,Subtotal,65,362,564,356,486
33,Tax,67,383,564,382,534
34,Payment,69,404,564,396,495
35,$3.98,71,352,288,352,243
36,s0.48,73,372,288,374,241
37,$4.46,75,393,288,395,242
38,,77,415,307,416,291
39,0-00,79,415,287,417,212
40,2,81,352,259,352,251
41,-,83,445,474,446,465
42,Check,85,446,461,449,410
43,Closed,87,450,400,453,349
44,2/13/2018,89,466,482,470,402
45,11:29,91,470,392,472,347
46,A,93,473,336,473,327
