,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
150,1,139,.,279,1427,174,1432,173
307,0,308,167.92,617,3554,174,3554,39
293,2,297,430.89,595,3199,201,3205,66
273,3,279,430.89,559,3057,211,3063,78
137,4,138,eposit,277,1415,251,1417,179
136,5,170,d,341,1415,268,1419,253
228,7,232,499.00,465,1984,286,1986,163
237,6,233,499.00,467,2057,286,2063,155
88,9,93,Rs/10KE,187,1169,312,1169,183
135,8,169,the,339,1415,312,1418,275
239,10,239,Charges,479,2161,312,2160,147
42,11,60,Rs/SMS,121,830,324,827,210
186,12,204,599.00,409,1702,335,1701,211
219,13,231,Charges,463,1868,335,1868,170
138,14,168,on,337,1421,349,1421,320
187,15,203,Rs,407,1702,387,1702,348
183,16,188,05-Jan-18,377,1631,402,1623,209
220,17,230,Net,461,1868,416,1870,344
94,19,101,0.0048/0.0048,203,1234,440,1227,179
143,18,167,annum,335,1421,440,1422,356
142,20,166,per,333,1421,485,1422,448
15,22,37,2),75,641,513,641,491
139,21,165,%,331,1421,513,1421,492
140,25,164,10,329,1421,534,1421,513
272,24,266,862.70,533,3057,534,3064,418
292,23,267,862.70,535,3199,534,3206,410
265,26,265,Usage,531,2937,546,2937,420
141,28,163,of,327,1421,566,1421,551
255,27,261,Usage,523,2567,566,2567,440
101,31,132,details,265,1318,578,1317,513
247,30,248,Min:Sec,497,2220,578,2225,464
253,29,255,498:00,511,2439,578,2445,443
95,34,100,(2G/3G),201,1234,591,1234,471
240,33,238,Usage,477,2161,591,2162,469
248,32,250,442:00,501,2277,591,2277,460
16,35,36,page,73,641,609,642,539
91,36,96,Rates,193,1180,654,1178,550
96,38,99,pack,199,1234,670,1237,611
102,39,131,further,263,1318,670,1319,602
146,37,162,interest,325,1427,670,1426,580
170,41,173,Payments,347,1562,692,1559,503
188,40,176,589.00,353,1702,692,1704,566
17,42,35,refer,71,641,704,642,626
148,43,161,an,323,1427,704,1429,677
6,45,19,Limit,39,593,717,592,617
103,44,130,For,261,1318,717,1320,684
171,46,172,3,345,1562,729,1562,706
264,47,264,Charged,529,2937,729,2937,560
189,48,175,Rs,351,1702,743,1705,704
256,49,260,Charged,521,2567,743,2567,580
104,52,129,etc,259,1318,757,1320,732
147,50,160,you,321,1427,757,1428,714
184,51,174,04-Dec-17,349,1631,757,1633,565
241,53,237,Charged,475,2161,771,2164,604
99,55,98,without,197,1241,804,1240,688
153,54,159,pay,319,1427,804,1431,763
19,58,34,details,69,641,820,644,714
92,57,95,Internet,191,1180,820,1181,665
105,59,128,"CUG,",257,1318,820,1320,773
172,56,171,Last,343,1562,820,1563,738
7,60,18,Credit,37,593,853,593,731
144,61,158,will,317,1427,853,1426,812
18,63,33,(for,67,641,879,644,834
44,62,59,Rates,119,840,879,840,777
152,64,157,we,315,1427,891,1432,860
145,66,156,",",313,1427,903,1427,898
267,65,269,Usage,539,2937,903,2939,772
257,67,259,Usage,519,2567,918,2569,792
294,68,296,3072.00,593,3205,918,3207,761
109,70,127,"Friends,",255,1318,928,1321,834
243,71,236,Usage,473,2167,928,2166,812
275,69,278,3072.00,557,3057,928,3062,767
107,74,126,&,253,1318,942,1322,937
229,73,244,499.00,489,1996,942,1990,816
238,72,245,499.00,491,2065,942,2071,814
100,75,97,Browsing,195,1247,954,1244,821
43,76,58,SMS,117,840,968,840,890
93,77,94,Mobile,189,1188,968,1185,831
149,78,155,which,311,1427,968,1428,908
21,80,32,2700,65,647,989,646,905
221,79,229,ChargesDiscounts,459,1874,989,1874,485
263,81,268,Free,537,2937,1005,2937,917
84,82,92,International,185,1111,1017,1107,738
258,83,258,Free,517,2567,1017,2569,931
108,84,125,Family,251,1318,1031,1321,957
242,85,235,Free,471,2167,1031,2167,947
9,87,17,Dynamic,35,593,1042,595,865
190,86,202,589.00,405,1714,1042,1712,918
83,88,91,0,183,1111,1062,1111,1047
151,89,154,beyond,309,1427,1062,1431,980
20,92,31,Rs,63,647,1080,646,1000
106,91,124,like,249,1318,1080,1322,1041
157,90,153,",",307,1434,1080,1434,1073
191,93,201,Rs,403,1714,1092,1713,1053
185,94,187,06-Nov-17,375,1637,1111,1637,909
156,95,152,account,305,1434,1174,1433,1082
110,96,123,features,247,1324,1184,1323,1088
154,97,151,the,303,1434,1218,1433,1181
155,98,150,of,301,1434,1249,1434,1226
266,99,270,Usage,541,2937,1249,2939,1129
48,101,65,Rs/Min:Sec,131,873,1259,870,1049
112,100,122,promo,245,1324,1259,1323,1191
22,104,30,Seconds,61,647,1271,648,1128
244,105,234,Usage,469,2167,1271,2170,1151
249,102,249,442:00,499,2283,1271,2279,1145
254,103,254,498:00,509,2439,1271,2449,1140
274,107,271,3934.70,543,3057,1285,3062,1126
295,106,272,3934.70,545,3205,1285,3204,1118
23,109,29,60,59,647,1316,649,1279
222,108,243,Charge,487,1882,1316,1882,1179
111,111,121,special,243,1324,1340,1323,1272
159,110,149,closure,299,1434,1340,1435,1256
37,112,40,Plan,81,749,1369,749,1287
116,114,120,or,241,1324,1369,1326,1356
158,113,148,of,297,1434,1369,1436,1348
193,115,200,599.44,401,1714,1385,1716,1269
161,116,147,days,295,1434,1427,1437,1376
25,117,28,Others,57,647,1438,651,1336
49,119,64,Rs/Min:Sec,129,873,1450,873,1293
114,118,119,packs,239,1324,1450,1326,1391
26,121,27,2,55,647,1464,652,1455
162,120,146,60,293,1434,1464,1438,1433
192,122,199,Rs,399,1714,1492,1716,1400
24,123,26,VF,53,647,1517,652,1486
39,125,39,Postpald,79,749,1533,749,1380
113,124,118,promo,237,1324,1533,1325,1457
167,126,145,within,291,1440,1533,1439,1471
225,127,242,Units,485,1882,1564,1887,1460
27,128,25,and,51,647,1588,651,1535
268,129,276,Usage,553,2937,1604,2941,1476
115,130,117,special,235,1324,1614,1325,1540
38,132,38,Your,77,749,1633,749,1545
206,131,219,deposit,439,1795,1633,1795,1547
164,134,144,refunded,289,1440,1643,1438,1549
195,133,198,588.82,397,1714,1643,1718,1527
76,137,50,Mobile,101,1058,1653,1057,1545
276,135,277,4029130,555,3067,1653,3065,1476
296,136,295,4029130,591,3205,1653,3207,1472
163,139,143,be,287,1440,1677,1440,1658
205,138,218,the,437,1795,1677,1795,1640
85,140,53,Mobile,107,1117,1726,1117,1612
118,141,116,"numbers,",233,1324,1726,1327,1622
165,142,142,will,285,1440,1726,1439,1693
28,143,24,Seconds,49,654,1748,653,1605
50,146,45,Circle),91,873,1748,876,1669
198,144,197,Rs,395,1714,1748,1718,1658
224,145,241,Period,483,1882,1748,1887,1632
97,148,57,Calls,115,1241,1775,1242,1701
204,147,217,towards,435,1795,1775,1795,1685
231,149,228,19.01.18,457,2002,1775,2001,1628
8,151,16,Rate,33,593,1795,593,1721
29,150,23,60,47,654,1795,654,1758
40,152,42,Rates,85,830,1795,829,1701
117,153,115,special,231,1324,1819,1327,1739
166,154,141,deposit,283,1440,1819,1439,1740
77,157,49,Vodafone,99,1058,1834,1059,1669
86,158,52,Other,105,1117,1834,1119,1738
89,156,55,Landline,111,1180,1834,1180,1687
232,155,227,to,455,2002,1834,2006,1797
32,160,22,VF,45,654,1844,656,1813
51,159,44,Home,89,879,1844,878,1770
119,161,114,to,229,1324,1844,1328,1829
31,163,21,2,43,654,1876,656,1869
52,162,43,@,87,879,1876,879,1857
175,164,181,History,363,1578,1876,1578,1745
41,165,41,Call,83,830,1887,829,1815
53,166,46,Incoming,93,938,1887,936,1716
59,167,47,Outgoing,95,989,1887,996,1720
75,168,48,To,97,1058,1887,1058,1846
87,171,51,To,103,1117,1887,1119,1848
90,170,54,To,109,1180,1887,1180,1848
98,169,56,Video,113,1241,1887,1242,1793
223,172,240,Rental,481,1882,1887,1887,1767
199,174,196,588.82,393,1714,1901,1718,1783
214,173,216,payments,433,1795,1901,1799,1783
30,176,20,VF,41,654,1927,656,1892
160,175,140,Security,281,1434,1927,1437,1831
173,178,180,Bill,361,1578,1949,1578,1895
218,177,215,any,431,1801,1949,1801,1906
121,179,113,SMS/Call,227,1330,1964,1329,1856
