Word_Count,Word,index,X1,Y1,X2,Y2
1,Vishnu,3,81,60,209,72
2,Foods,5,233,71,334,80
3,Road,7,355,91,444,99
4,641,9,8,103,53,103
5,EAlgonquin,11,70,103,328,104
6,SchaumburgT,13,22,135,283,124
7,IL,15,241,141,300,136
8,601,17,319,135,391,129
9,73,19,399,128,438,125
10,847-303-5116,21,80,155,333,160
11,NAMASTE,23,124,194,272,197
12,3/4/2018,25,5,225,77,222
13,7:48:27,27,89,221,166,218
14,PM,29,178,221,199,220
15,BHAV,31,402,219,448,217
16,ONIONS,33,6,273,56,272
17,E,35,68,271,77,271
18,LBS,37,89,270,120,269
19,30,39,13,297,37,297
20,$1.49ea,41,48,296,121,296
21,PENOLA,43,5,321,56,321
22,PEANUT,45,68,321,132,321
23,OIL,47,145,320,178,320
24,1GAL,49,193,320,234,320
25,$4.47,51,348,296,403,294
26,TX1,53,416,294,447,293
27,$9.99,55,349,319,404,318
28,Tx1,57,417,319,449,319
29,GAL$14.46,59,196,312,409,369
30,SUB,61,4,371,28,372
31,TOTAL,63,37,371,89,373
32,Tax,65,4,394,28,396
33,1,67,39,397,45,398
34,$0.33,69,351,395,406,393
35,$14.79,71,302,441,430,447
36,$14.79,73,343,466,409,472
37,TOTAL,75,4,443,100,451
38,Credit,77,3,470,58,473
39,card,79,69,474,113,477
40,Item,81,4,494,38,495
41,count:,83,48,500,110,503
42,4,85,124,502,135,502
43,Tra,87,4,519,28,518
44,219713,89,58,528,123,525
45,Terminal:040000033-00,91,181,522,408,513
46,THANK,93,79,554,134,552
47,YOU,95,146,555,181,553
48,&,97,192,555,203,555
49,COME,99,215,552,260,550
50,AGAIN,101,272,546,324,544
