Word_Count,Word,index,X1,Y1,X2,Y2
181,History,363,1578,1882,1578,1745
182,Jul-17,365,1616,2707,1616,2576
183,Aug,367,1616,2522,1616,2385
184,17,369,1616,2360,1616,2305
185,Sep-17,371,1616,2262,1616,2060
186,Oct-17,373,1616,2006,1616,1804
187,06-Nov-17,375,1637,1111,1637,909
188,05-Jan-18,377,1631,402,1623,209
189,Rs,379,1720,2729,1720,2692
190,588.82,381,1720,2679,1720,2561
191,Rs,383,1720,2526,1720,2436
192,588.82,385,1720,2421,1720,2297
193,Rs,387,1718,2262,1718,2172
194,588.82,389,1718,2157,1718,2041
195,Rs,391,1718,2006,1718,1914
196,588.82,393,1718,1901,1718,1783
197,Rs,395,1718,1748,1718,1658
198,588.82,397,1718,1643,1718,1527
199,Rs,399,1716,1492,1716,1400
200,599.44,401,1716,1385,1716,1269
201,Rs,403,1714,1092,1713,1053
202,589.00,405,1714,1042,1712,918
203,Rs,407,1702,387,1702,348
204,599.00,409,1702,335,1701,211
205,Note:,411,1799,2784,1799,2716
206,Payment,413,1797,2709,1797,2601
207,details,415,1799,2595,1799,2517
208,under,417,1799,2510,1799,2440
209,Last,419,1799,2433,1799,2386
210,3,421,1797,2378,1797,2365
211,Payments,423,1797,2356,1797,2240
212,section,425,1799,2232,1799,2146
213,doesn't,427,1797,2136,1797,2050
214,include,429,1797,2043,1797,1957
215,any,431,1801,1949,1801,1906
216,payments,433,1799,1901,1799,1783
217,towards,435,1795,1775,1795,1685
218,the,437,1795,1677,1795,1640
219,deposit,439,1795,1633,1795,1547
220,Monthly,441,1893,2782,1893,2619
221,Charges,443,1891,2610,1891,2455
222,Plan,445,2008,2792,2008,2712
223,Rental,447,2008,2701,2008,2583
224,-,449,2008,2571,2008,2548
225,Red4Business_499_2017,451,2008,2547,2006,2079
226,20.12.17,453,2002,2002,2001,1843
227,to,455,2006,1834,2006,1797
228,19.01.18,457,2002,1783,2001,1628
229,ChargesDiscounts,459,1874,989,1874,485
230,Net,461,1870,416,1870,344
231,Charges,463,1868,335,1868,170
232,499.00,465,1984,294,1986,163
233,499.00,467,2057,286,2063,155
234,Usage,469,2171,1273,2170,1151
235,Free,471,2167,1035,2167,947
236,Usage,473,2167,936,2166,812
237,Charged,475,2165,771,2164,604
238,Usage,477,2163,593,2162,469
239,Charges,479,2161,318,2160,147
240,Rental,481,1887,1893,1887,1767
241,Period,483,1887,1754,1887,1632
242,Units,485,1887,1564,1887,1460
243,Charge,487,1882,1316,1882,1179
244,499.00,489,1996,944,1990,816
245,499.00,491,2065,942,2071,814
246,Call,493,2181,2801,2181,2725
247,Charges,495,2179,2711,2179,2554
248,Min:Sec,497,2220,582,2225,464
249,442:00,499,2283,1271,2279,1145
250,442:00,501,2277,591,2277,460
251,Local,503,2368,2815,2367,2715
252,to,505,2372,2703,2372,2666
253,CUG,507,2364,2654,2363,2572
254,498:00,509,2443,1271,2449,1140
255,498:00,511,2439,578,2445,443
256,SMS,513,2581,2829,2583,2743
257,Charges,515,2583,2732,2588,2567
258,Free,517,2569,1019,2569,931
259,Usage,519,2569,918,2569,792
260,Charged,521,2567,751,2567,580
261,Usage,523,2567,566,2567,440
262,SMS,525,2695,2837,2695,2753
263,Local,527,2695,2740,2695,2640
264,Charged,529,2937,735,2937,560
265,Usage,531,2937,546,2937,420
266,862.70,533,3057,542,3064,418
267,862.70,535,3199,534,3206,410
268,Free,537,2937,1005,2937,917
269,Usage,539,2939,903,2939,772
270,Usage,541,2939,1255,2939,1129
271,3934.70,543,3061,1293,3062,1126
272,3934.70,545,3205,1285,3204,1118
273,Mobile,547,2955,2851,2955,2710
274,Internet,549,2955,2699,2955,2532
275,Charges,551,2953,2520,2953,2355
