,level_0,Word_Count,Word,index,X1,Y1,X2,Y2
23,0,1,Vishnu,3,79,60,209,72
36,1,2,Foods,5,233,71,334,80
45,2,3,Road,7,355,91,444,99
9,3,4,641,9,3,103,53,103
20,4,5,EAlgonquin,11,68,103,328,104
11,6,6,SchaumburgT,13,22,128,283,124
40,7,8,601,17,319,128,391,129
46,5,9,73,19,399,128,438,125
37,8,7,IL,15,241,141,300,136
22,9,10,847-303-5116,21,79,155,333,160
26,10,11,NAMASTE,23,124,194,272,197
7,14,12,3/4/2018,25,3,219,77,222
24,12,13,7:48:27,27,89,219,166,218
30,13,14,PM,29,178,219,199,220
47,11,15,BHAV,31,399,219,448,217
8,17,16,ONIONS,33,3,270,56,272
17,16,17,E,35,68,270,77,271
25,15,18,LBS,37,89,270,120,269
10,21,19,30,39,13,294,37,297
15,20,20,$1.49ea,41,48,294,121,296
42,19,25,$4.47,51,343,294,403,294
48,18,26,TX1,53,416,294,447,293
6,27,21,PENOLA,43,3,312,56,321
18,28,22,PEANUT,45,68,312,132,321
28,25,23,OIL,47,145,312,178,320
33,26,24,1GAL,49,192,312,234,320
34,22,29,GAL$14.46,59,192,312,409,369
43,23,27,$9.99,55,349,312,404,318
49,24,28,Tx1,57,416,312,449,319
5,29,30,SUB,61,3,371,28,372
12,30,31,TOTAL,63,37,371,89,373
2,31,32,Tax,65,3,394,28,396
13,33,33,1,67,37,394,45,398
44,32,34,$0.33,69,349,394,406,393
3,35,37,TOTAL,75,3,441,100,451
39,34,35,$14.79,71,302,441,430,447
0,37,38,Credit,77,3,466,58,473
19,38,39,card,79,68,466,113,477
41,36,36,$14.79,73,343,466,409,472
1,39,40,Item,81,3,494,38,495
14,40,41,count:,83,48,494,110,503
27,41,42,4,85,124,494,135,502
4,42,43,Tra,87,3,519,28,518
16,44,44,219713,89,58,519,123,525
31,43,45,Terminal:040000033-00,91,178,519,408,513
21,47,46,THANK,93,79,546,134,552
29,48,47,YOU,95,145,546,181,553
32,49,48,&,97,192,546,203,555
35,46,49,COME,99,215,546,260,550
38,45,50,AGAIN,101,272,546,324,544
