Word_Count,Word,index,X1,Y1,X2,Y2
1,Reliance,3,161,257,165,113
2,Jio,5,201,540,201,528
3,and,7,202,525,202,512
4,Y,9,219,375,219,373
5,CO,11,219,370,219,359
6,.LTD,13,219,354,219,338
7,Net,15,263,539,264,526
8,Quantity,17,264,523,265,489
9,MRP,19,289,539,289,519
10,:,21,289,518,289,515
11,2,23,290,501,290,496
12,409.00,25,290,489,290,457
13,1800,27,319,507,319,490
14,860,29,319,486,319,473
15,9999,31,320,469,320,452
16,Toll,33,320,448,320,431
17,Frea),35,321,427,321,408
18,Designed,37,324,255,325,219
19,in,39,326,216,326,210
20,Indin,41,326,207,326,189
