|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
32|0|1|1|#|110|6|121|6
35|1|2|2|3|118|6|129|6
41|2|3|3|3rd|140|6|159|6
47|3|4|4|CROSS|161|6|213|7
60|4|5|5|STREET|219|6|270|7
79|5|6|6|,|271|6|275|7
81|6|7|7|VIJAYA|280|6|328|9
98|7|8|8|NAGAR|327|6|379|10
42|8|9|9|VELACHERY,|140|24|226|24
62|9|10|10|CHENNAI|228|24|291|24
83|10|11|11|600|298|24|323|24
94|11|12|12|042|327|24|351|24
46|12|13|13|GSTIN:33ACPE|161|41|256|41
78|13|14|14|S3952A127|257|41|332|41
48|14|15|15|PH:|161|61|186|61
52|15|16|16|044-2259|190|61|250|61
76|16|17|17|9999/|257|61|291|61
82|17|18|18|444|298|61|319|61
18|18|19|19|Bill|60|82|90|82
21|19|20|20|No|92|82|113|82
38|20|21|21|AC179929|128|82|208|83
17|21|22|22|Table|60|107|91|107
25|22|23|23|No|92|107|114|107
36|23|24|24|4|118|107|129|107
43|24|25|25|Covers/Pax|140|107|237|107
16|25|26|26|Date|60|127|89|127
28|26|27|27|20/Feb/2019|104|127|185|127
74|27|28|28|Time|234|127|269|129
80|28|29|29|:16:20:38|271|127|334|129
14|29|30|30|Item|53|170|85|170
77|30|31|31|Rate|257|170|289|172
84|31|32|32|Qty|298|170|332|172
104|32|33|33|Amt|344|170|406|172
15|33|34|34|Manchow[chijsoup|60|207|212|207
61|34|35|35|140.00|228|207|288|207
86|35|36|36|2|298|207|334|207
103|36|37|37|280.00|344|207|406|207
13|37|38|38|Cream|53|232|111|232
33|38|39|39|Of|118|232|137|232
44|39|40|40|Tomato|140|232|204|232
57|40|41|41|So|211|232|233|233
69|41|42|42|110.00|234|232|289|233
91|42|43|43|1|327|232|333|234
110|43|44|44|110.00|352|232|408|234
9|44|45|45|Alfaham|53|257|125|257
39|45|46|46|Dejaj[half|128|257|216|257
63|46|47|47|230.00|234|257|290|258
92|47|48|48|1|327|257|332|258
107|48|49|49|230.00|352|257|408|258
4|49|50|50|Grill|53|281|87|281
22|50|51|51|Chicken|92|281|163|281
49|51|52|52|Half|171|281|203|282
65|52|53|53|210.00|234|281|290|282
90|54|54|54|1|327|281|332|283
106|53|55|55|210.00|352|281|408|282
11|55|56|56|Paneer|53|306|116|306
34|56|57|57|Tikka|118|306|165|306
64|57|76|76|250.00|234|306|289|306
89|58|77|77|1|327|306|331|306
105|59|78|78|250.00|352|306|406|306
3|63|58|58|Fish|53|329|89|331
24|64|59|59|Finger|92|329|149|331
66|60|79|79|260.00|234|329|288|329
85|61|80|80|1|298|329|334|329
100|62|81|81|260.00|344|329|405|329
0|68|60|60|Jack|53|353|93|356
27|69|61|61|Magic|98|353|151|356
67|66|82|82|105.00|234|353|291|354
93|67|83|83|1|327|353|334|354
109|65|84|84|105.00|352|353|409|353
1|75|62|62|Veg|53|378|85|382
20|76|63|63|Sch|92|378|125|382
40|74|64|64|Fried|128|378|174|380
51|71|65|65|Rice|182|378|219|379
68|72|66|66|145.00|234|378|291|378
96|73|67|67|1|327|378|335|379
111|70|68|68|145.00|352|378|410|377
2|81|69|69|Chicken|53|400|119|404
37|80|70|70|Noodles|128|400|198|403
59|79|71|71|180.00|211|400|288|401
87|77|72|72|1|298|400|334|399
102|78|73|73|180.00|344|400|406|399
6|87|74|74|Mini|53|426|88|432
23|86|75|75|Falooda|92|426|164|431
70|85|92|92|130.00|234|426|291|428
95|83|93|93|2|327|426|337|427
108|84|94|94|260|352|426|384|426
116|82|95|95|00|385|426|409|426
10|93|85|85|Royal|53|451|101|454
30|91|86|86|Falooda|110|451|175|452
54|88|87|87|1|190|451|240|450
73|92|96|96|160.00|234|451|289|453
88|90|97|97|1|305|451|334|451
101|89|98|98|160.00|344|451|408|449
8|97|88|88|Mirchi|53|476|104|482
31|98|89|89|Citrus|110|476|161|482
71|96|99|99|105.00|234|476|293|478
99|95|100|100|1|327|476|336|477
112|94|101|101|105.00|352|476|411|474
7|102|90|90|Kulfi|53|500|90|507
26|103|91|91|Falooda|98|500|166|506
72|101|102|102|160.00|234|500|293|503
97|100|103|103|1|327|500|336|502
113|99|104|104|160.00|358|500|411|498
12|110|105|105|No|53|554|77|559
19|107|106|106|of|84|554|99|558
29|109|107|107|Item|104|554|141|558
45|108|108|108|13|150|554|166|558
50|106|109|109|No|171|554|209|556
58|105|110|110|Qty|211|554|246|554
75|104|111|111|:15|247|554|286|553
5|112|112|112|K-0089,K-0092,|53|580|187|578
53|111|113|113|K-0093,K-0099,k-0105|190|580|380|572
56|114|114|114|Subtotal|200|595|268|601
114|113|116|116|2455.00|358|595|426|591
115|115|117|117|61.38|385|618|428|616
55|116|115|115|CGST|200|628|250|626
