|Word_Count|Word|X1|Y1|X2|Y2
1|1|bordeF|21|514|32|329
2|2|parotta|39|305|51|109
3|3|AUTHENTIC|67|518|76|328
4|4|MULTI|77|312|82|221
5|5|CUISNE|83|205|89|90
6|6|OOT|96|553|95|604
7|7|FEETROAD,|87|528|92|371
8|8|VELACHERY,|91|340|99|178
9|9|CH-42|101|160|104|99
10|10|GSTIN|102|608|105|508
11|11|:|104|486|104|476
12|12|33AALFC1903D1Z2|106|475|115|192
13|13|10/11/2019|123|475|128|295
14|14|Date|122|612|122|537
15|15|Time:|131|238|134|161
16|16|15:50|135|151|138|76
17|17|Tbl|139|614|140|561
18|18|C2|144|439|145|406
19|19|Bill|149|254|151|189
20|20|Waiter:MANIKANDAN|157|619|165|294
21|21|ONO|154|511|153|542
22|22|L6600|168|49|166|121
23|23|Item|197|622|198|544
24|24|Qty|203|309|204|258
25|25|Rate|204|219|204|152
26|26|Amount|206|99|208|7
27|27|PAROTA|239|483|240|367
28|28|06|252|154|251|183
29|29|HSIH|269|551|269|630
30|30|FINGER|259|527|259|408
31|31|T|269|261|269|273
32|32|090|270|153|271|203
33|33|EGG|277|631|277|571
34|34|F|279|547|279|531
35|35|IRED|278|507|278|450
36|36|RICE|278|426|278|352
37|37|CHICKEN|298|633|298|491
38|38|TIKKA|299|468|299|372
39|39|M|299|352|299|333
40|40|PLAIN|318|488|318|391
41|41|(1P|317|382|317|334
42|42|090|307|154|307|202
43|43|PAROTA|319|636|319|512
44|44|T|328|261|328|274
45|45|PAROTA|339|490|338|373
46|46|06|345|155|346|183
47|47|Total|402|453|400|359
48|48|2.58|416|316|413|246
49|49|2.58|434|318|431|247
50|50|Nett:|456|456|454|368
