|Word_Count|Word|X1|Y1|X2|Y2
1|1|U12009PTC071449|225|9|366|9
2|2|KICA3787F1ZN|240|37|372|36
3|3|CIN|153|15|174|14
4|4|GSTIN|150|40|204|46
5|5|INDO|210|85|278|85
6|6|6.|38|143|71|143
7|7|No:CR1959/373|73|142|267|140
8|8|Date|237|170|265|170
9|9|/ct/2019|275|165|369|166
10|10|10:58:18|390|170|449|171
11|11|AM|459|171|474|171
12|12|Bill|299|196|327|196
13|13|By:|339|196|359|196
14|14|KAJANTH|362|193|422|193
15|15|IRAN|424|194|455|194
16|16|L|466|199|471|199
17|17|Pay|44|172|63|171
18|18|Mode:CARD|72|171|134|169
19|19|SELF|190|223|228|223
20|20|SERVICE|241|222|312|223
21|21|Perticulars|46|270|123|271
22|22|GST|161|272|180|272
23|23|HSN/SAC|198|272|248|273
24|24|Qty|289|274|309|274
25|25|Rate|339|273|381|274
26|26|Amount|422|274|467|275
27|27|MASALA|47|317|88|318
28|28|DOSAI|98|318|131|319
29|29|58|160|316|185|317
30|30|996331|206|321|246|322
31|31|1.00|273|323|300|324
32|32|P|310|325|315|325
33|33|75.00|342|324|378|325
34|34|75.00|427|325|463|326
35|35|IOLY|49|341|73|342
36|36|(2|85|342|95|342
37|37|Nas)|106|342|131|343
38|38|58|170|343|182|343
39|39|996331|206|344|246|345
40|40|2.00|266|342|300|343
41|41|P|302|343|318|343
42|42|35.00|341|349|377|350
43|43|70.00|427|351|461|352
44|44|5%|171|369|183|370
45|45|996331|206|367|246|369
46|46|2.00|272|370|299|371
47|47|P|309|372|314|372
48|48|80.00|340|373|376|375
49|49|GNION|48|365|81|365
50|50|UTTAPAH|91|365|139|366
51|51|160.00|410|375|459|375
52|52|Tot|50|411|69|412
53|53|Itas3|78|410|111|411
54|54|Sub|213|413|232|414
55|55|Total|242|414|274|415
56|56|305.00|411|422|454|422
57|57|SEST|212|435|238|436
58|58|2.5|246|434|268|435
59|59|CGST|212|460|238|460
60|60|2.5|243|458|265|458
61|61|7.63|426|444|453|446
62|62|7.63|424|467|451|469
63|63|Round|211|483|245|482
64|64|off|253|484|273|484
65|65|-0.26|415|489|449|491
66|66|Total|212|529|242|529
67|67|Amount|253|529|293|529
68|68|320.00|403|533|445|535
69|69|BILL|142|551|177|551
70|70|AMOUNT|188|553|244|554
71|71|320.00/-|254|551|327|552
72|72|Tarninal|58|591|107|596
73|73|Ho:|114|600|138|602
74|74|$s-127246|149|599|270|611
75|75|nappa|219|0|236|29
76|76|Fvan|237|32|259|70
