|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
21|0|22|22|L6600|168|49|166|121
25|1|26|26|Amount|203|99|208|7
8|7|9|9|CH-42|101|151|104|99
15|2|16|16|15:50|131|151|138|76
27|4|28|28|06|252|151|251|183
31|3|32|32|090|269|151|271|203
39|5|42|42|090|307|151|307|202
45|6|46|46|06|345|151|346|183
4|8|5|5|CUISNE|83|205|89|90
24|9|25|25|Rate|203|219|204|152
14|10|15|15|Time:|131|238|134|161
18|11|19|19|Bill|149|254|151|189
29|12|31|31|T|269|254|269|273
43|13|44|44|T|328|254|328|274
1|14|2|2|parotta|39|305|51|109
3|16|4|4|MULTI|77|305|82|221
23|15|24|24|Qty|203|305|204|258
47|17|48|48|2.58|416|316|413|246
48|18|49|49|2.58|434|316|431|247
6|19|8|8|VELACHERY,|91|340|99|178
38|20|39|39|M|298|352|299|333
40|21|41|41|(1P|317|382|317|334
33|22|36|36|RICE|277|426|278|352
17|23|18|18|C2|139|439|145|406
46|24|47|47|Total|402|453|400|359
49|25|50|50|Nett:|456|453|454|368
11|27|12|12|33AALFC1903D1Z2|101|468|115|192
13|28|13|13|10/11/2019|122|468|128|295
37|26|38|38|TIKKA|298|468|299|372
10|30|11|11|:|101|483|104|476
26|29|27|27|PAROTA|239|483|240|367
41|31|40|40|PLAIN|317|483|318|391
44|32|45|45|PAROTA|339|483|338|373
0|35|1|1|bordeF|21|507|32|329
19|34|21|21|ONO|149|507|153|542
34|33|35|35|IRED|277|507|278|450
2|36|3|3|AUTHENTIC|67|518|76|328
28|37|30|30|FINGER|259|518|259|408
5|38|7|7|FEETROAD,|83|528|92|371
7|41|6|6|OOT|91|547|95|604
30|40|29|29|HSIH|269|547|269|630
35|39|34|34|F|277|547|279|531
9|42|10|10|GSTIN|101|608|105|508
12|43|14|14|Date|122|608|122|537
16|44|17|17|Tbl|139|608|140|561
20|45|20|20|Waiter:MANIKANDAN|157|619|165|294
22|46|23|23|Item|197|619|198|544
32|47|33|33|EGG|277|631|277|571
36|48|37|37|CHICKEN|298|631|298|491
42|49|43|43|PAROTA|317|631|319|512
