|Word_Count|Word|X1|Y1|X2|Y2
1|1|SEA|204|70|259|72
2|2|SHELL|274|73|366|77
3|3|SEASHELL|232|99|277|101
4|4|RESTAURANT|281|101|341|104
5|5|#|198|108|202|108
6|6|3|203|108|208|108
7|7|3rd|215|110|227|111
8|8|CROSS|231|111|263|112
9|9|STREET|267|113|302|115
10|10|,|303|121|303|121
11|11|VIJAYA|307|115|338|116
12|12|NAGAR|341|115|373|116
13|13|VELACHERY|215|122|270|124
14|14|CHENNAL-|275|127|317|129
15|15|600|321|128|337|129
16|16|042|340|128|355|129
17|17|GSTIN|228|135|255|136
18|18|33ACPF|259|136|292|137
19|19|S3952A127|294|138|342|140
20|20|PH:|230|148|244|149
21|21|044-2259|247|149|286|151
22|22|9999/|290|151|313|152
23|23|4444|317|152|336|153
24|24|Bill|160|155|178|157
25|25|No|183|158|198|159
26|26|:AC179929|203|161|259|166
27|27|Table|159|171|181|173
28|28|No|185|174|196|175
29|29|4|203|177|207|177
30|30|Covers/Pax:-|228|178|285|183
31|31|Date:|158|184|183|186
32|32|20/Feb/2019|186|186|239|191
33|33|Tme16|241|189|309|190
34|34|203|316|189|332|189
35|35|Item|156|213|174|215
36|36|Rate|288|222|307|223
37|37|Cry|323|224|339|225
38|38|Amt|370|226|387|227
39|39|Manchow(chijsoup|157|238|256|242
40|40|140|265|243|289|244
41|41|00|293|244|305|245
42|42|2|317|245|335|246
43|43|280.00|345|246|384|248
44|44|Cream|153|254|188|256
45|45|Of|194|256|206|257
46|46|Tomato|212|257|248|259
47|47|So|254|258|268|259
48|48|11000|271|259|304|260
49|49|1|315|261|334|262
50|50|110.00|345|262|384|264
51|51|Alfaham|152|270|195|272
52|52|Dejaj[haif]|204|272|256|274
53|53|230|264|275|286|276
54|54|00|292|276|304|277
55|55|1|315|277|334|278
56|56|230.00|343|278|385|280
57|57|ELL|14|279|96|283
58|58|Grill|153|285|174|286
59|59|Chicken|178|286|222|288
60|60|Half|228|288|247|289
61|61|21000|258|290|304|292
62|62|1|315|292|334|293
63|63|210.00|342|293|384|295
64|64|060D6|395|296|471|299
65|65|Paneer|150|302|191|305
66|66|Tikka|194|305|223|307
67|67|Fish|149|318|173|320
68|68|Finger|177|320|212|323
69|69|Jack|146|335|173|336
70|70|Magic|178|337|211|338
71|71|25000|267|309|304|311
72|72|1|330|313|333|313
73|73|250.00|347|313|385|315
74|74|26000|266|325|303|327
75|75|1|329|328|333|328
76|76|260|346|328|367|329
77|77|00|371|331|385|332
78|78|105.00|267|341|300|342
79|79|1|312|343|332|344
80|80|105.00|342|344|382|346
81|81|Veg|146|351|167|352
82|82|Sch|172|352|194|353
83|83|Fried|198|353|226|354
84|84|Rice|230|356|255|357
85|85|14500|266|357|303|359
86|86|1|329|361|333|361
87|87|145.00|347|362|385|364
88|88|Chicken|145|368|188|370
89|89|Noodles|196|370|239|372
90|90|180|252|373|282|374
91|91|00|287|374|300|375
92|92|1|311|375|331|376
93|93|180.00|341|377|382|379
94|94|130.00|264|389|300|391
95|95|2|311|391|332|392
96|96|260.00|341|393|382|395
97|97|160.00|264|405|300|407
98|98|1|312|408|332|409
99|99|160|341|409|364|410
100|100|00|371|411|383|412
101|101|105.00|262|424|298|426
102|102|1|310|426|329|427
103|103|105.00|339|427|381|429
104|104|160.00|261|441|297|443
105|105|1|310|443|330|444
106|106|160.00|338|444|381|446
107|107|taurant|17|352|88|352
108|108|Mini|142|384|166|385
109|109|Falooda|171|385|216|387
110|110|Royal|143|402|174|403
111|111|Falooda1|180|404|267|408
112|112|Mirchi|139|419|173|420
113|113|Citrus|178|420|211|421
114|114|Kulfi|139|436|164|437
115|115|Falooda|168|436|215|438
116|116|OL|70|439|117|439
117|117|No|136|472|150|473
118|118|of|156|473|165|473
119|119|Item|171|474|195|475
120|120|13|206|475|220|476
121|121|No|230|476|247|477
122|122|Qty:15|253|477|293|479
123|123|K-0089,|134|490|179|492
124|124|K-0092|181|491|223|493
125|125|K-0093,K-0099,K-0105|224|492|362|498
126|126|Subtotal|233|511|280|514
127|127|CGST|232|529|267|529
128|128|SGST|232|547|266|547
129|129|Round|231|565|268|566
130|130|Off|272|567|290|567
131|131|2455|349|516|377|517
132|132|00|381|517|395|518
133|133|61.38|364|534|393|535
134|134|61.38|363|551|393|552
135|135|025|369|570|393|569
136|136|otal|233|598|256|599
137|137|Amount|261|599|306|601
138|138|2578.00|320|601|389|603
