|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
30|0|1|1|AIIA|128|51|181|51
46|1|2|2|SUPER|191|51|256|51
61|2|3|3|HARKE|269|51|330|51
75|3|4|4|I|334|51|343|51
27|7|5|5|NO.|102|73|125|75
29|8|6|6|6.|128|73|141|75
37|5|7|7|DHANDEESWARAM|153|73|261|73
62|6|8|8|MAIN|269|73|303|74
72|4|9|9|ROAD|313|73|346|73
47|9|10|10|VELACHER|204|94|301|90
14|14|11|11|GSTIN|43|113|85|117
23|13|12|12|33AABFL6568KIZUser|92|113|254|114
60|11|13|13|Id|258|113|271|114
63|12|14|14|:|269|113|279|115
65|10|15|15|SATHEESH.S|290|113|376|111
13|17|16|16|PH:22433444,|43|137|140|138
34|16|17|17|22434000,|144|137|217|137
49|15|18|18|42022999|218|137|290|135
35|19|19|19|GREDIT|144|156|218|156
51|18|20|20|CARD-BILL|226|156|344|154
12|22|21|21|B1l1|34|179|70|184
17|23|22|22|No:|82|179|113|184
31|21|23|23|CC8130|134|179|185|181
57|20|24|24|Date:12/03/2019|234|179|373|176
11|26|25|25|counter:PLT-2|34|201|149|203
48|25|26|26|Time:9:13:46|218|201|324|199
73|24|27|27|PM|334|201|352|200
1|30|28|28|Particulars|28|250|130|252
58|28|29|29|Rate|241|250|276|251
66|29|30|30|Qty|290|250|320|251
76|27|31|31|Amount|348|250|402|250
6|35|32|32|KISSAN|28|300|84|302
22|36|33|33|PINEAPPLE|92|300|174|302
43|32|34|34|JAM|185|300|210|301
50|33|35|35|140.00|226|300|278|301
71|34|36|36|1.00|296|300|331|301
78|31|37|37|140.00|348|300|405|300
3|42|38|38|MODERN|28|325|84|327
24|38|39|39|SWEET|92|325|138|326
36|39|40|40|BREAD|144|325|192|326
54|40|41|41|29,00|234|325|278|326
67|41|42|42|1.00|296|325|331|326
81|37|43|43|29.00|360|325|405|325
5|47|44|44|MOONG|28|351|75|352
18|48|45|45|DHALL|82|351|129|352
33|49|46|46|500|134|351|165|352
42|43|47|47|GMS|173|351|201|351
55|44|48|48|52.00|234|351|278|351
70|45|49|49|1.00|296|351|331|351
80|46|50|50|52.00|360|351|406|351
2|51|51|51|NARASUS|28|376|93|377
26|52|52|52|COFFEE|102|376|156|377
39|53|53|53|50|166|376|183|377
45|54|54|54|GM|191|376|210|377
53|55|55|55|23.00|234|376|279|377
69|56|56|56|1.00|296|376|332|377
82|50|57|57|23.00|360|376|406|376
4|57|58|58|NARASUS|28|402|93|402
28|58|59|59|INSTANT|102|402|165|402
41|59|60|60|COFF|173|402|210|402
52|61|61|61|73.00|234|402|279|403
68|62|62|62|2.00|296|402|332|403
79|60|63|63|146.00|348|402|406|402
0|63|64|64|Items:|28|452|76|452
20|64|65|65|5.00|82|452|122|453
38|65|66|66|Tot|153|452|180|453
44|66|67|67|Qty:|191|452|224|453
59|67|68|68|6.00|241|452|279|454
77|68|69|69|390.00|348|452|403|454
40|69|70|70|CREDIT|173|504|226|504
56|71|71|71|CARD|234|504|272|505
64|72|72|72|AMT|283|504|308|505
74|70|73|73|390.00|334|504|392|504
7|73|74|74|Cust|28|526|66|527
16|74|75|75|Code:|76|526|118|528
32|75|76|76|42610|134|526|206|531
10|76|77|77|SELVA|34|550|76|552
19|77|78|78|PRAKASH|82|550|147|555
9|78|79|79|M1,|34|576|56|577
15|79|80|80|PJP|68|576|93|579
25|80|81|81|GARDEN|102|576|155|580
8|81|82|82|GANGAI|28|600|83|602
21|82|83|83|NAGAR|92|600|135|603
