|Word_Count|Word|X1|Y1|X2|Y2
1|1|AIIA|132|51|181|51
2|2|SUPER|195|51|256|51
3|3|HARKE|269|51|330|51
4|4|I|338|51|343|51
5|5|NO.|104|75|125|75
6|6|6.|128|75|141|75
7|7|DHANDEESWARAM|153|74|261|73
8|8|MAIN|270|74|303|74
9|9|ROAD|313|73|346|73
10|10|VELACHER|204|94|301|90
11|11|GSTIN|45|118|85|117
12|12|33AABFL6568KIZUser|94|117|254|114
13|13|Id|258|114|271|114
14|14|:|272|115|279|115
15|15|SATHEESH.S|290|113|376|111
16|16|PH:22433444,|43|140|140|138
17|17|22434000,|144|139|217|137
18|18|42022999|222|137|290|135
19|19|GREDIT|144|158|218|156
20|20|CARD-BILL|230|156|344|154
21|21|B1l1|39|185|70|184
22|22|No:|82|185|113|184
23|23|CC8130|134|182|185|181
24|24|Date:12/03/2019|238|179|373|176
25|25|counter:PLT-2|36|208|149|203
26|26|Time:9:13:46|218|204|324|199
27|27|PM|334|201|352|200
28|28|Particulars|32|253|130|252
29|29|Rate|241|251|276|251
30|30|Qty|293|251|320|251
31|31|Amount|348|250|402|250
32|32|KISSAN|33|302|84|302
33|33|PINEAPPLE|94|302|174|302
34|34|JAM|185|301|210|301
35|35|140.00|226|301|278|301
36|36|1.00|297|301|331|301
37|37|140.00|352|300|405|300
38|38|MODERN|32|327|84|327
39|39|SWEET|94|326|138|326
40|40|BREAD|148|326|192|326
41|41|29,00|234|326|278|326
42|42|1.00|296|326|331|326
43|43|29.00|360|325|405|325
44|44|MOONG|32|352|75|352
45|45|DHALL|85|352|129|352
46|46|500|139|352|165|352
47|47|GMS|175|351|201|351
48|48|52.00|234|351|278|351
49|49|1.00|297|351|331|351
50|50|52.00|360|351|406|351
51|51|NARASUS|32|377|93|377
52|52|COFFEE|103|377|156|377
53|53|50|166|377|183|377
54|54|GM|193|377|210|377
55|55|23.00|234|377|279|377
56|56|1.00|297|377|332|377
57|57|23.00|360|376|406|376
58|58|NARASUS|32|402|93|402
59|59|INSTANT|105|402|165|402
60|60|COFF|175|402|210|402
61|61|73.00|234|403|279|403
62|62|2.00|296|403|332|403
63|63|146.00|353|402|406|402
64|64|Items:|28|452|76|452
65|65|5.00|87|453|122|453
66|66|Tot|155|453|180|453
67|67|Qty:|191|453|224|453
68|68|6.00|243|454|279|454
69|69|390.00|350|454|403|454
70|70|CREDIT|173|504|226|504
71|71|CARD|237|505|272|505
72|72|AMT|283|505|308|505
73|73|390.00|338|504|392|504
74|74|Cust|33|526|66|527
75|75|Code:|76|527|118|528
76|76|42610|139|529|206|531
77|77|SELVA|34|550|76|552
78|78|PRAKASH|85|552|147|555
79|79|M1,|34|576|56|577
80|80|PJP|68|578|93|579
81|81|GARDEN|102|578|155|580
82|82|GANGAI|33|600|83|602
83|83|NAGAR|92|602|135|603
