|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
21|1|1|1|NO.|72|48|90|49
30|2|2|2|6,|93|48|104|49
38|0|3|3|DHANDEESWARAM|110|48|207|48
82|3|4|4|MAIN|215|48|242|49
96|4|5|5|ROAD|250|48|277|50
56|5|6|6|VELACHE|154|64|227|64
85|6|7|7|R|229|64|239|64
11|8|8|8|GST|27|84|48|85
15|9|9|9|IN|51|84|63|85
19|7|10|10|33AABFL6568KZ|66|84|178|84
16|10|11|11|Userld:|51|105|101|104
35|11|12|12|v.vIJAY|110|105|160|104
2|12|13|13|PH:22433444,22434000,42022999|21|122|232|122
37|13|14|14|CASH-COUPON-BILL|110|144|278|139
4|15|15|15|8111|21|163|49|164
17|17|16|16|No|59|163|73|166
28|18|17|17|:|83|163|86|169
33|16|18|18|SP10039|103|163|153|164
73|14|19|19|Date:08/11/2017|187|163|299|160
5|21|20|20|counter:LAT1O|21|182|118|186
63|20|21|21|Time:8:51:08|173|182|259|181
98|19|22|22|PM|266|182|281|181
1|25|23|23|Particulars|21|224|104|227
75|24|24|24|Rate|187|224|221|225
88|22|25|25|Oty|229|224|256|223
100|23|26|26|Amount|275|224|322|222
6|32|27|27|NESTLE|21|264|67|268
23|29|28|28|LACTOGEN|72|264|132|267
46|30|29|29|3|140|264|147|268
54|31|30|30|50|154|264|168|268
66|28|31|31|275.00|179|264|222|265
91|27|32|32|1.00|237|264|264|264
101|26|33|33|275.00|275|264|324|263
3|37|34|34|MOTHER|21|284|68|287
24|38|35|35|PUNJABI|72|284|124|287
44|36|36|36|PACHR|133|284|168|286
68|35|37|37|92.00|187|284|222|285
90|34|38|38|1.00|237|284|265|284
107|33|39|39|92.00|288|284|325|283
10|44|40|40|SELLAM|21|305|68|308
25|43|41|41|VATHA|72|305|112|307
40|42|42|42|KULAMBU|119|305|169|306
69|41|43|43|34.00|187|305|224|305
89|39|44|44|1.00|237|305|266|304
106|40|45|45|34.00|288|305|325|304
9|51|46|46|SELLAM|21|325|68|328
26|49|47|47|SESAME|72|325|118|326
43|50|48|48|IDLI|126|325|153|327
58|47|49|49|P|162|325|169|326
70|48|50|50|28.00|187|325|223|326
94|45|51|51|1.00|237|325|265|325
108|46|52|52|28.00|288|325|325|325
8|58|53|53|SUNDAKA|21|346|76|349
29|56|54|54|VATHAL|83|346|126|347
45|57|55|55|100|133|346|155|348
59|54|56|56|G|162|346|169|347
71|55|57|57|30.00|187|346|223|347
92|52|58|58|1.00|237|346|265|346
110|53|59|59|30.00|288|346|325|346
7|64|60|60|NESTLE|21|366|69|369
27|63|61|61|KITKAT|72|366|119|367
42|61|62|62|DESSER|126|366|170|366
72|62|63|63|54.00|187|366|224|366
93|59|64|64|1.00|237|366|266|365
109|60|65|65|54.00|288|366|326|365
0|70|66|66|Items:|21|405|61|410
20|69|67|67|6.00|66|405|100|408
41|68|68|68|Tot|126|405|146|408
55|67|69|69|0ty:|154|405|181|406
78|66|70|70|6.00|193|405|225|405
102|65|71|71|513.00|281|405|326|406
50|73|72|72|Tendered|140|447|199|448
80|71|73|73|Amt:|203|447|233|447
104|72|82|82|13.00|281|447|316|447
48|74|74|74|Cash|140|468|171|468
64|75|75|75|Amt:|179|468|205|468
103|76|83|83|13.00|281|468|316|468
49|77|76|76|COUPON|140|488|184|488
74|78|77|77|AMOUNT|187|488|234|488
97|79|78|78|500.00|250|488|314|488
47|82|79|79|CREDIT|140|509|184|510
76|81|80|80|CARD|193|509|221|510
84|80|81|81|AMT|229|509|250|509
32|84|84|84|BILLED|93|532|139|532
57|83|85|85|CHECKED/DELIVERED|154|532|301|529
62|86|86|86|Thank|173|554|208|553
83|85|87|87|You|215|554|238|553
14|92|88|88|Goods|27|574|65|577
22|93|89|89|once|72|574|103|579
36|90|90|90|sold|110|574|141|576
52|94|91|91|can|146|574|171|580
65|89|92|92|not|179|574|199|576
81|91|93|93|be|203|574|223|577
87|88|94|94|taken|229|574|268|574
99|87|95|95|back|275|574|304|573
12|98|96|96|Exchange|27|595|88|597
31|101|97|97|within|93|595|141|599
53|99|98|98|7|146|595|156|598
60|100|99|99|Days|162|595|193|598
79|97|100|100|for|203|595|223|596
86|95|101|101|unused|229|595|276|594
105|96|102|102|produot|281|595|335|594
13|106|103|103|with|27|616|58|620
18|103|104|104|Bil1|66|616|94|619
34|104|105|105|&|103|616|111|619
39|107|106|106|price|119|616|156|619
61|105|107|107|tag|162|616|186|619
77|102|108|108|inact.|193|616|236|615
51|110|109|109|fon|146|637|177|640
67|109|110|110|mportad|179|637|232|637
95|108|111|111|items|237|637|277|636
