|Word_Count|Word|X1|Y1|X2|Y2
1|1|ADYAR|54|29|116|29
2|2|ANANDA|134|27|209|27
3|3|BHAVAN|226|28|300|28
4|4|SWEETS|316|29|387|29
5|5|INDIA|109|45|170|45
6|6|PRIVATE|187|44|273|45
7|7|LTD|292|46|327|46
8|8|(A2B|155|65|179|65
9|9|VEG|188|65|206|65
10|10|RESTAURANTI|214|64|284|65
11|11|RMZ|64|85|82|85
12|12|MILLENIA|92|84|145|84
13|13|BUS|153|82|174|82
14|14|INESS|176|82|205|82
15|15|PARK-II-FOODCOURT,|215|85|329|85
16|16|MGR-SALAI-PERUNGUDI,|105|105|239|105
17|17|-|253|102|261|102
18|18|TAMBARAM|263|102|314|102
19|19|CHENNAT|323|102|371|102
20|20|Pin:600096RN:|168|126|252|124
21|21|45014455|256|122|309|121
22|22|CIN|155|171|174|171
23|23|:|184|168|197|168
24|24|U15490TN2009PTC071449|197|167|336|164
25|25|GSTIN:33AAICA3787F1ZN|154|192|342|189
26|26|INUOICE|208|236|297|234
27|27|B.|48|283|89|282
28|28|No:CR19273/119349|91|281|312|274
29|29|Pay|52|308|72|307
30|30|Mode:CARD|81|308|143|306
31|31|Date|235|302|261|301
32|32|:17/Dec/2019|271|301|349|298
33|33|05:25:57|364|297|416|295
34|34|PM|425|294|437|293
35|35|Bill|263|324|288|323
36|36|By:|298|322|315|321
37|37|SELVAKUMAR|325|320|391|317
38|38|BALASU|400|318|438|316
39|39|SELF|196|349|231|348
40|40|SERVICE|242|348|305|346
41|41|Anount|405|384|445|382
42|42|Perticulars|54|401|131|397
43|43|GST|169|396|188|395
44|44|HSN/SAC|204|394|251|392
45|45|Qty|288|390|306|389
46|46|Rate|343|388|369|387
47|47|5%|177|443|189|442
48|48|996331|212|440|252|438
49|49|1.000|285|437|317|435
50|50|30.00|340|434|372|432
51|51|30.00|416|429|449|427
52|52|1.000|286|460|318|458
53|53|25.00|341|457|374|455
54|54|TEA|56|449|75|449
55|55|25.00|417|451|450|450
56|56|58|178|466|190|465
57|57|996331|214|464|253|462
58|58|HEDHU|55|472|90|470
59|59|VADAI|99|470|133|468
60|60|55.00|421|499|454|498
61|61|Sub|222|512|242|511
62|62|Total|252|510|284|508
63|63|Tot|52|518|81|516
64|64|Itns2|87|519|120|517
65|65|1.38|430|523|456|521
66|66|SGST|223|536|251|534
67|67|2.5|260|534|279|533
68|68|%|288|533|293|533
69|69|1.38|432|546|459|545
70|70|CGST|225|560|251|558
71|71|2.5|261|558|280|557
72|72|%|290|557|294|557
73|73|-0.01|428|571|459|570
74|74|Round|225|584|260|582
75|75|off|269|581|288|580
76|76|Total|225|628|270|627
77|77|Annunt|272|626|313|625
78|78|57.75|431|620|465|619
