|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
45|0|1|1|SEA|203|70|259|72
85|1|2|2|SHELL|271|70|366|77
40|4|5|5|#|194|99|202|108
41|5|6|6|3|203|99|208|108
59|2|3|3|SEASHELL|230|99|277|101
87|3|4|4|RESTAURANT|281|99|341|104
48|6|7|7|3rd|212|110|227|111
57|7|8|8|CROSS|230|110|263|112
80|8|9|9|STREET|265|110|302|115
95|9|11|11|VIJAYA|303|110|338|116
117|10|12|12|NAGAR|338|110|373|116
49|12|13|13|VELACHERY|212|121|270|124
86|13|14|14|CHENNAL-|271|121|317|129
94|11|10|10|,|303|121|303|121
109|14|15|15|600|316|121|337|129
116|15|16|16|042|338|121|355|129
51|16|17|17|GSTIN|224|135|255|136
70|17|18|18|33ACPF|259|135|292|137
93|18|19|19|S3952A127|293|135|342|140
22|23|24|24|Bill|156|148|178|157
56|19|20|20|PH:|230|148|244|149
65|20|21|21|044-2259|247|148|286|151
90|21|22|22|9999/|287|148|313|152
106|22|23|23|4444|316|148|336|153
33|24|25|25|No|183|158|198|159
43|25|26|26|:AC179929|203|158|259|166
21|26|27|27|Table|156|171|181|173
34|27|28|28|No|183|171|196|175
42|28|29|29|4|203|171|207|177
52|29|30|30|Covers/Pax:-|224|171|285|183
20|30|31|31|Date:|156|184|183|186
35|31|32|32|20/Feb/2019|183|184|239|191
64|32|33|33|Tme16|241|184|309|190
105|33|34|34|203|316|184|332|189
17|34|35|35|Item|156|213|174|215
89|35|36|36|Rate|287|213|307|223
110|36|37|37|Cry|323|224|339|225
133|37|38|38|Amt|369|224|387|227
19|38|39|39|Manchow(chijsoup|156|238|256|242
77|39|40|40|140|265|238|289|244
92|40|41|41|00|293|238|305|245
107|41|42|42|2|316|238|335|246
125|42|43|43|280.00|345|238|384|248
15|43|44|44|Cream|149|254|188|256
36|44|45|45|Of|194|254|206|257
47|45|46|46|Tomato|212|254|248|259
68|46|47|47|So|253|254|268|259
83|47|48|48|11000|271|254|304|260
104|48|49|49|1|310|254|334|262
124|49|50|50|110.00|345|254|384|264
0|56|57|57|ELL|14|270|96|283
14|50|51|51|Alfaham|149|270|195|272
44|51|52|52|Dejaj[haif]|203|270|256|274
74|52|53|53|230|259|270|286|276
91|53|54|54|00|287|270|304|277
102|54|55|55|1|310|270|334|278
123|55|56|56|230.00|338|270|385|280
16|57|58|58|Grill|149|285|174|286
28|58|59|59|Chicken|177|285|222|288
53|59|60|60|Half|224|285|247|289
69|60|61|61|21000|253|285|304|292
103|61|62|62|1|310|285|334|293
122|62|63|63|210.00|338|285|384|295
13|64|65|65|Paneer|149|296|191|305
37|65|66|66|Tikka|194|296|223|307
137|63|64|64|060D6|395|296|471|299
12|69|67|67|Fish|149|309|173|320
81|66|71|71|25000|265|309|304|311
113|67|72|72|1|329|309|333|313
128|68|73|73|250.00|345|309|385|315
27|70|68|68|Finger|177|320|212|323
78|71|74|74|26000|265|320|303|327
111|72|75|75|1|329|320|333|328
126|73|76|76|260|345|320|367|329
11|75|69|69|Jack|142|331|173|336
29|76|70|70|Magic|177|331|211|338
134|74|77|77|00|369|331|385|332
82|77|78|78|105.00|265|341|300|342
100|78|79|79|1|310|341|332|344
121|79|80|80|105.00|338|341|382|346
1|81|107|107|taurant|14|351|88|352
10|80|81|81|Veg|142|351|167|352
26|82|82|82|Sch|168|351|194|353
39|83|83|83|Fried|194|351|226|354
54|84|84|84|Rice|230|351|255|357
79|85|85|85|14500|265|351|303|359
9|88|88|88|Chicken|142|361|188|370
38|89|89|89|Noodles|194|361|239|372
112|86|86|86|1|329|361|333|361
127|87|87|87|145.00|345|361|385|364
66|90|90|90|180|247|373|282|374
88|91|91|91|00|287|373|300|375
98|92|92|92|1|310|373|331|376
119|93|93|93|180.00|338|373|382|379
7|94|108|108|Mini|142|384|166|385
25|95|109|109|Falooda|168|384|216|387
76|96|94|94|130.00|259|384|300|391
99|97|95|95|2|310|384|332|392
120|98|96|96|260.00|338|384|382|395
8|99|110|110|Royal|142|402|174|403
31|100|111|111|Falooda1|177|402|267|408
75|101|97|97|160.00|259|402|300|407
101|102|98|98|1|310|402|332|409
118|103|99|99|160|338|402|364|410
135|104|100|100|00|369|402|383|412
5|105|112|112|Mirchi|134|419|173|420
30|106|113|113|Citrus|177|419|211|421
73|107|101|101|105.00|259|419|298|426
97|108|102|102|1|310|419|329|427
115|109|103|103|105.00|338|419|381|429
2|112|116|116|OL|70|436|117|439
6|110|114|114|Kulfi|134|436|164|437
23|111|115|115|Falooda|168|436|215|438
72|113|104|104|160.00|259|436|297|443
96|114|105|105|1|310|436|330|444
114|115|106|106|160.00|338|436|381|446
4|116|117|117|No|134|472|150|473
18|117|118|118|of|156|472|165|473
24|118|119|119|Item|168|472|195|475
46|119|120|120|13|203|472|220|476
55|120|121|121|No|230|472|247|477
67|121|122|122|Qty:15|253|472|293|479
3|122|123|123|K-0089,|134|490|179|492
32|123|124|124|K-0092|177|490|223|493
50|124|125|125|K-0093,K-0099,K-0105|224|490|362|498
63|125|126|126|Subtotal|230|511|280|514
129|126|131|131|2455|345|511|377|517
136|127|132|132|00|381|511|395|518
60|128|127|127|CGST|230|529|267|529
131|129|133|133|61.38|363|529|393|535
61|130|128|128|SGST|230|547|266|547
130|131|134|134|61.38|363|547|393|552
58|132|129|129|Round|230|565|268|566
84|133|130|130|Off|271|565|290|567
132|134|135|135|025|369|565|393|569
62|135|136|136|otal|230|598|256|599
71|136|137|137|Amount|259|598|306|601
108|137|138|138|2578.00|316|598|389|603
