|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
36|0|75|75|nappa|219|0|236|29
37|1|1|1|U12009PTC071449|225|0|366|9
19|2|3|3|CIN|149|15|174|14
18|5|4|4|GSTIN|149|32|204|46
38|3|76|76|Fvan|237|32|259|70
40|4|2|2|KICA3787F1ZN|237|32|372|36
30|6|5|5|INDO|206|85|278|85
0|8|6|6|6.|38|142|71|143
9|7|7|7|No:CR1959/373|72|142|267|140
1|14|17|17|Pay|44|165|63|171
8|12|18|18|Mode:CARD|72|165|134|169
39|10|8|8|Date|237|165|265|170
51|9|9|9|/ct/2019|272|165|369|166
63|11|10|10|10:58:18|390|165|449|171
74|13|11|11|AM|459|165|474|171
53|17|12|12|Bill|299|193|327|196
58|18|13|13|By:|339|193|359|196
62|15|14|14|KAJANTH|362|193|422|193
70|16|15|15|IRAN|422|193|455|194
75|19|16|16|L|466|193|471|199
25|21|19|19|SELF|188|222|228|223
41|20|20|20|SERVICE|237|222|312|223
2|22|21|21|Perticulars|44|270|123|271
21|23|22|22|GST|160|270|180|272
26|24|23|23|HSN/SAC|198|270|248|273
52|26|24|24|Qty|289|270|309|274
57|25|25|25|Rate|339|270|381|274
68|27|26|26|Amount|422|270|467|275
3|29|27|27|MASALA|44|316|88|318
13|30|28|28|DOSAI|98|316|131|319
20|28|29|29|58|160|316|185|317
29|31|30|30|996331|206|316|246|322
50|32|31|31|1.00|272|316|300|324
56|34|32|32|P|309|316|315|325
61|33|33|33|75.00|339|316|378|325
72|35|34|34|75.00|422|316|463|326
5|36|35|35|IOLY|44|341|73|342
11|37|36|36|(2|85|341|95|342
14|38|37|37|Nas)|106|341|131|343
22|40|38|38|58|170|341|182|343
27|42|39|39|996331|206|341|246|345
48|39|40|40|2.00|266|341|300|343
54|41|41|41|P|299|341|318|343
60|43|42|42|35.00|339|341|377|350
73|44|43|43|70.00|422|351|461|352
4|45|49|49|GNION|44|365|81|365
12|46|50|50|UTTAPAH|91|365|139|366
23|48|44|44|5%|170|365|183|370
28|47|45|45|996331|206|365|246|369
49|49|46|46|2.00|272|365|299|371
55|50|47|47|P|309|365|314|372
59|51|48|48|80.00|339|365|376|375
65|52|51|51|160.00|410|375|459|375
6|54|52|52|Tot|50|410|69|412
10|53|53|53|Itas3|78|410|111|411
35|55|54|54|Sub|212|410|232|414
42|56|55|55|Total|237|410|274|415
66|57|56|56|305.00|410|422|454|422
32|59|57|57|SEST|212|434|238|436
44|58|58|58|2.5|243|434|268|435
71|60|61|61|7.63|422|444|453|446
33|62|59|59|CGST|212|458|238|460
43|61|60|60|2.5|243|458|265|458
69|63|62|62|7.63|422|458|451|469
31|64|63|63|Round|206|483|245|482
46|65|64|64|off|253|483|273|484
67|66|65|65|-0.26|410|483|449|491
34|67|66|66|Total|212|529|242|529
45|68|67|67|Amount|253|529|293|529
64|69|68|68|320.00|403|529|445|535
16|70|69|69|BILL|142|551|177|551
24|72|70|70|AMOUNT|188|551|244|554
47|71|71|71|320.00/-|253|551|327|552
7|73|72|72|Tarninal|58|591|107|596
15|75|73|73|Ho:|114|591|138|602
17|74|74|74|$s-127246|149|591|270|611
