|Word_Count|Word|X1|Y1|X2|Y2
1|1|Courtallatn|210|71|353|74
2|2|botder|135|109|261|115
3|3|parotta|279|123|440|131
4|4|AUTHENTI|127|184|244|191
5|5|G|246|191|267|192
6|6|MULTI|268|195|333|199
7|7|CUISINE|345|200|438|206
8|8|100|80|210|112|212
9|9|FEETROAD,|127|214|227|221
10|10|VELACHERY|243|222|349|229
11|11|,|356|227|363|227
12|12|CH-42|365|230|423|234
13|13|GSTIN|78|232|140|236
14|14|:|149|241|152|241
15|15|33AALFC1903|155|235|292|245
16|16|D|297|246|309|247
17|17|1Z2|313|249|345|251
18|18|Date:|76|255|143|260
19|19|10/11/2019|162|260|272|268
20|20|Time:|312|271|365|275
21|21|15:50|373|275|430|279
22|22|Bill|299|291|343|294
23|23|DO2997|381|298|451|303
24|24|Tbl|76|276|109|278
25|25|No|123|280|145|282
26|26|:|163|286|164|286
27|27|C2|182|284|203|286
28|28|Waiter|74|296|144|301
29|29|:|150|306|151|306
30|30|MANI|158|304|201|307
31|31|KANDAN|205|308|270|313
32|32|Item|74|340|120|342
33|33|Qty|259|352|292|354
34|34|Rate|317|357|362|360
35|35|Amount|397|363|466|368
36|36|VEECHY|70|381|140|385
37|37|PARO|155|386|197|389
38|38|TA|200|390|221|391
39|39|1|280|394|287|394
40|40|90|337|399|356|401
41|41|90.00|407|405|460|409
42|42|FISH|71|401|116|404
43|43|FINGER|130|405|197|409
44|44|260|392|424|423|427
45|45|.|429|424|439|425
46|46|00|439|428|458|430
47|47|260|323|418|353|421
48|48|EGG|69|421|105|423
49|49|FIRED|117|423|172|426
50|50|RICE|186|429|229|432
51|51|120|322|437|352|440
52|52|120.00|391|444|455|449
53|53|CHICKEN|69|441|149|446
54|54|TIKA|159|444|226|448
55|55|M|229|453|238|454
56|56|PAROTA|66|460|137|465
57|57|PLAIN|151|466|203|469
58|58|(|210|472|211|472
59|59|1|220|472|221|472
60|60|P|229|469|236|469
61|61|VEECHY|66|478|135|482
62|62|PAROTA|150|486|213|490
63|63|260|320|456|350|459
64|64|260|383|461|420|463
65|65|.00|434|467|452|468
66|66|20|330|476|349|478
67|67|1|273|473|280|473
68|68|20.00|396|483|449|487
69|69|1|272|493|279|493
70|70|90|328|496|346|497
71|71|90|395|502|413|503
72|72|.00|420|504|446|506
73|73|840.00|376|554|437|558
74|74|21.00|383|572|433|574
75|75|21.00|381|588|430|589
76|76|Total|167|546|220|549
77|77|CGST|171|560|211|562
78|78|2.5|243|563|278|564
79|79|SGST|168|577|210|579
80|80|2.5%|223|580|284|583
81|81|Nett:|166|594|214|597
82|82|882.00|350|606|422|608
83|83|viait|300|633|347|635
84|84|Again|359|632|410|634
