|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
29|0|1|1|LALIA|123|18|191|18
43|2|2|2|SUPER|206|18|273|19
60|1|3|3|HARKET|286|18|366|18
22|3|4|4|NO.6.|102|41|144|41
34|4|5|5|DHANDEESWARAM|157|41|276|41
59|5|6|6|MAIN|286|41|320|41
69|6|7|7|ROAD|331|41|367|41
47|7|8|8|VELACHER|214|63|318|63
8|11|9|9|GSTIN|32|88|83|90
18|9|10|10|33AABFL|88|88|153|89
35|10|11|11|6568K17lUserId:|157|88|296|89
62|8|12|12|SATHEESH.S|306|88|399|88
6|13|13|13|PH:22433444,22434000,|32|113|230|112
49|12|14|14|42022999|232|113|309|112
31|15|15|15|GREDIT|150|136|232|137
51|14|16|16|CARD-BILL|249|136|374|136
3|16|17|17|Bill|32|160|67|160
16|17|18|18|No|78|160|98|160
30|18|19|19|CC8130|123|160|194|160
46|19|20|20|Date:12/03/2019|206|160|394|160
2|22|21|21|counter:PLT-2|32|186|158|187
48|21|22|22|Time:9:13:46|232|186|346|186
70|20|23|23|PM|356|186|375|186
0|26|24|24|Particulars|32|238|139|240
57|25|25|25|Rate|258|238|296|239
63|23|26|26|oty|313|238|341|238
72|24|27|27|Amount|371|238|426|238
1|32|28|28|KISSAN|32|290|91|294
23|31|29|29|PINEAPPLE|102|290|189|293
42|30|30|30|JAM|199|290|227|293
50|28|31|31|140.00|242|290|298|291
66|29|32|32|1.00|313|290|353|292
74|27|33|33|140.00|371|290|428|289
5|38|34|34|MODERN|32|317|92|321
24|37|35|35|SWEET|102|317|150|320
36|36|36|36|BREAD|157|317|208|319
53|34|37|37|29.00|249|317|298|317
65|35|38|38|1.00|313|317|353|317
78|33|39|39|29.00|381|317|428|316
7|45|40|40|MOONG|32|343|84|348
19|44|41|41|DHALL|94|343|142|347
32|43|42|42|500|150|343|180|346
40|42|43|43|GMS|191|343|219|345
54|41|44|44|52.00|249|343|299|344
68|40|45|45|1.00|313|343|354|343
77|39|46|46|52.00|381|343|430|342
9|52|47|47|NARASUS|32|369|103|375
26|51|48|48|COFFEE|114|369|171|373
38|49|49|49|50|181|369|200|372
45|50|50|50|GM|206|369|228|372
52|47|51|51|23.00|249|369|298|370
67|48|52|52|1.00|313|369|353|370
76|46|53|53|23.00|381|369|429|368
10|58|54|54|NARASUS|38|396|104|401
27|57|55|55|INSTANT|114|396|181|399
41|55|56|56|COFF|191|396|228|397
55|56|57|57|73.00|249|396|300|397
64|54|58|58|2.00|313|396|354|396
75|53|59|59|146.00|371|396|430|395
37|62|63|63|Tot|171|445|197|452
44|61|64|64|Qty:|206|445|244|451
58|60|65|65|6.00|258|445|301|450
73|59|60|60|390.00|371|445|428|447
4|64|61|61|Items:|32|455|87|455
21|63|62|62|5.00|94|455|136|454
39|68|66|66|CREDIT|191|501|247|504
56|67|67|67|CARD|258|501|295|504
61|66|68|68|AMT|306|501|332|503
71|65|69|69|390.00|362|501|417|499
13|70|70|70|Cust|38|533|76|534
17|71|71|71|Code:|88|533|132|534
33|69|72|72|42610|150|533|225|533
14|72|73|73|SELVA|38|560|88|560
20|73|74|74|PRAKASH|94|560|164|561
11|74|75|75|M1,|38|588|66|588
15|75|76|76|PJP|78|588|106|589
28|76|77|77|GARDEN|114|588|173|589
12|77|78|78|GANGAT|38|616|94|616
25|78|79|79|NAGAR|102|616|154|617
