|index|Unnamed: 0|Word_Count|Word|X1|Y1|X2|Y2
34|1|1|1|ler|96|5|123|7
57|0|2|2|cash2|145|5|183|5
114|2|3|3|Counter|242|5|284|10
166|3|4|4|BILL|309|5|337|11
6|4|5|5|Description|82|37|157|38
97|5|66|66|MRP|228|37|258|42
133|6|67|67|Rate|271|37|300|42
168|7|68|68|Qty|316|37|335|44
179|8|69|69|Amt|362|37|386|45
4|11|6|6|A4|82|55|99|56
36|9|7|7|SPARKILING|109|55|183|55
84|10|8|8|STIC|187|55|211|55
98|12|70|70|10.00|228|55|259|59
141|13|71|71|6.00|278|55|301|61
185|14|72|72|6.00|368|55|387|61
2|16|9|9|BRINJI|82|72|124|73
42|17|10|10|LEAF|131|72|161|73
68|15|11|11|20GM|167|72|197|72
112|18|73|73|7.00|235|72|261|75
144|19|74|74|6.00|278|72|303|76
169|20|75|75|1|336|72|338|77
188|21|76|76|6.00|368|72|389|77
5|24|12|12|CHART|82|90|128|90
48|22|13|13|THICK|137|90|175|89
80|23|14|14|DAR|179|90|206|89
99|25|77|77|18.00|235|90|260|91
134|26|78|78|18.00|278|90|303|92
181|27|79|79|18.00|362|90|390|92
3|29|15|15|CHART|82|106|129|106
50|30|16|16|THICK|137|106|175|106
79|28|17|17|GREE|179|106|213|105
102|31|80|80|18.00|235|106|261|108
135|32|81|81|18.00|278|106|304|108
183|33|82|82|18.00|362|106|391|108
1|36|18|18|CHART|82|123|129|123
49|37|19|19|THICK|137|123|176|123
81|34|20|20|ORA|179|123|209|122
104|35|83|83|18.00|235|123|262|123
136|38|84|84|18.00|278|123|305|124
170|39|85|85|1|336|123|341|124
184|40|86|86|18.00|368|123|393|124
9|43|21|21|CHART|82|140|129|140
45|44|22|22|THICK|131|140|173|140
76|41|23|23|PINK|179|140|208|139
106|45|87|87|18.00|235|140|263|141
140|42|88|88|18.00|278|140|306|141
186|46|89|89|18.00|368|140|394|141
0|50|24|24|CLOUDY|82|157|139|157
53|51|25|25|COLOURI|145|157|202|157
100|47|90|90|45.00|235|157|264|157
139|48|91|91|38.00|278|157|307|157
187|49|92|92|38.00|368|157|395|157
7|54|26|26|CLOUDY|82|174|140|174
54|55|27|27|COLOURIN|145|174|213|173
103|56|93|93|45.00|235|174|265|175
138|52|94|94|38.00|278|174|308|174
